latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
34.59515,-2.35219,305.97,0.34,0.56,2017-01-01,0117,N,VIIRS,n,2,275.42,1.5,N,2
33.90983,-5.50062,295.28,0.5,0.66,2017-01-01,0117,N,VIIRS,n,2,278.56,0.69,N,0
32.98989,-7.15503,297.04,0.62,0.71,2017-01-01,0118,N,VIIRS,n,2,278.08,1.03,N,0
33.00002,-2.36149,317.36,0.33,0.55,2017-01-01,0118,N,VIIRS,n,2,268.17,1.69,N,0
32.99976,-2.35798,307.12,0.33,0.55,2017-01-01,0118,N,VIIRS,n,2,266.73,1.05,N,0
32.99464,-2.35843,298.71,0.33,0.55,2017-01-01,0118,N,VIIRS,n,2,265.12,0.72,N,0
32.99565,-2.35301,296.16,0.64,0.72,2017-01-01,0258,N,VIIRS,n,2,265.58,1.44,N,0
32.99763,-2.35976,307.78,0.64,0.72,2017-01-01,0258,N,VIIRS,n,2,267.72,2.59,N,0
32.60989,-6.49205,325.61,0.45,0.63,2017-01-01,1417,N,VIIRS,n,2,295.16,2.13,D,0
32.9981,-2.35345,300.89,0.61,0.71,2017-01-02,0059,N,VIIRS,n,2,269.16,1.68,N,0
32.99836,-2.36018,307.25,0.61,0.71,2017-01-02,0059,N,VIIRS,n,2,270.74,1.68,N,0
33.00137,-2.35972,298.34,0.61,0.71,2017-01-02,0059,N,VIIRS,n,2,270.44,2.43,N,0
34.59768,-2.34613,305.33,0.32,0.55,2017-01-02,0239,N,VIIRS,n,2,275.81,0.55,N,0
32.99895,-2.35703,332.64,0.35,0.57,2017-01-02,0239,N,VIIRS,n,2,272.48,2.79,N,0
32.99748,-2.3549,335.75,0.39,0.44,2017-01-03,0220,N,VIIRS,n,2,269.81,2,N,0
34.59491,-2.34556,297.18,0.55,0.42,2017-01-03,0220,N,VIIRS,n,2,269.79,0.98,N,2
33.89133,-6.95085,299.01,0.39,0.36,2017-01-03,0220,N,VIIRS,n,2,278.41,0.79,N,0
33.52302,-7.67386,301.41,0.39,0.36,2017-01-03,0220,N,VIIRS,n,2,279.19,0.51,N,0
30.44895,-8.97653,328.56,0.38,0.36,2017-01-03,0221,N,VIIRS,n,2,282.21,2.8,N,0
32.98816,-7.14939,304.5,0.39,0.36,2017-01-03,0221,N,VIIRS,n,2,278.08,1.09,N,2
30.45224,-8.97583,298.22,0.38,0.36,2017-01-03,0221,N,VIIRS,n,2,280.38,2.8,N,0
32.99718,-2.35709,340.65,0.45,0.47,2017-01-03,1339,N,VIIRS,n,2,293.75,3.54,D,0
35.74435,-5.7539,299.36,0.43,0.38,2017-01-04,0201,N,VIIRS,n,2,279.6,0.91,N,2
34.59723,-2.34543,316.61,0.39,0.36,2017-01-04,0201,N,VIIRS,n,2,277.27,1.96,N,0
34.08564,-6.75247,312.35,0.45,0.39,2017-01-04,0201,N,VIIRS,n,2,279.82,1.28,N,0
33.89204,-6.95254,295.07,0.46,0.39,2017-01-04,0201,N,VIIRS,n,2,280.92,0.7,N,0
32.9968,-2.35822,326.24,0.39,0.36,2017-01-04,0202,N,VIIRS,n,2,271.15,2.82,N,0
32.98884,-7.14617,304.39,0.46,0.39,2017-01-04,0202,N,VIIRS,n,2,278.12,0.65,N,2
33.00012,-2.35743,315.74,0.39,0.36,2017-01-04,0202,N,VIIRS,n,2,268.53,0.66,N,0
29.63398,-9.51682,349.1,0.39,0.44,2017-01-04,1319,N,VIIRS,n,2,299.73,7.11,D,0
33.8515,-6.79269,334.52,0.4,0.37,2017-01-04,1320,N,VIIRS,n,2,293.68,3.13,D,0
35.88932,-5.38906,334.5,0.38,0.36,2017-01-04,1321,N,VIIRS,n,2,290.89,3.24,D,0
33.976,-6.38375,330.35,0.4,0.37,2017-01-04,1321,N,VIIRS,n,2,292.55,2.56,D,0
34.8197,-6.19802,331.16,0.39,0.36,2017-01-04,1321,N,VIIRS,n,2,297.71,2.46,D,0
35.3617,-5.72977,344.92,0.39,0.36,2017-01-04,1321,N,VIIRS,n,2,293.11,4.06,D,0
34.5956,-2.3491,308.78,0.47,0.4,2017-01-05,0142,N,VIIRS,n,2,277.48,1.99,N,2
32.99913,-2.35639,327.04,0.45,0.39,2017-01-05,0143,N,VIIRS,n,2,271.65,4.49,N,0
32.9886,-7.1486,297.89,0.53,0.5,2017-01-05,0143,N,VIIRS,n,2,279.01,1.16,N,2
32.99902,-2.35563,345.78,0.42,0.38,2017-01-05,1301,N,VIIRS,n,2,291.38,5.18,D,0
35.74301,-5.76034,311.8,0.44,0.62,2017-01-06,0123,N,VIIRS,n,2,281.98,1.04,N,2
35.74274,-5.75494,295.95,0.44,0.62,2017-01-06,0123,N,VIIRS,n,2,280.84,1.04,N,2
35.74324,-5.75612,314.39,0.44,0.62,2017-01-06,0123,N,VIIRS,n,2,281.37,1.31,N,2
34.59776,-2.34627,300.65,0.55,0.51,2017-01-06,0123,N,VIIRS,n,2,276.21,1.39,N,0
32.99544,-2.35611,302.65,0.53,0.5,2017-01-06,0124,N,VIIRS,n,2,269.17,1.57,N,0
34.28293,-6.57419,322.09,0.47,0.64,2017-01-06,0124,N,VIIRS,n,2,281.69,1.73,N,0
33.00009,-2.35559,316.89,0.53,0.5,2017-01-06,0124,N,VIIRS,n,2,270.03,2.24,N,0
32.98787,-7.15067,296.61,0.5,0.66,2017-01-06,0124,N,VIIRS,n,2,278.65,1.15,N,2
35.74197,-5.75761,307.77,0.44,0.62,2017-01-06,0304,N,VIIRS,n,2,281.56,2.01,N,2
32.99582,-2.35419,309.94,0.78,0.78,2017-01-06,0304,N,VIIRS,n,2,268.5,1.63,N,0
32.99866,-2.3561,318.72,0.78,0.78,2017-01-06,0304,N,VIIRS,n,2,269.42,2.65,N,0
35.74075,-5.7531,296.04,0.44,0.62,2017-01-06,0304,N,VIIRS,n,2,280.3,1.14,N,0
33.00013,-2.35364,301.14,0.5,0.66,2017-01-07,0105,N,VIIRS,n,2,269.55,1.69,N,0
33.00032,-2.35834,321.05,0.5,0.66,2017-01-07,0105,N,VIIRS,n,2,271.54,2.25,N,0
33.00042,-2.3591,310.65,0.5,0.66,2017-01-07,0105,N,VIIRS,n,2,270.71,1.69,N,0
33.0001,-2.35644,313.87,0.43,0.62,2017-01-07,0245,N,VIIRS,n,2,270.5,1.48,N,0
34.59393,-2.3476,304.94,0.39,0.6,2017-01-07,0245,N,VIIRS,n,2,276.84,1.2,N,2
32.99463,-2.35869,317.57,0.43,0.62,2017-01-07,0245,N,VIIRS,n,2,271.14,1.48,N,0
33.41699,-7.81394,298.48,0.42,0.45,2017-01-07,0246,N,VIIRS,n,2,278.49,0.59,N,0
34.59612,-2.34862,305.51,0.44,0.46,2017-01-08,0226,N,VIIRS,n,2,276.65,1.29,N,2
32.98856,-7.14642,301.3,0.43,0.38,2017-01-08,0227,N,VIIRS,n,2,278.67,0.75,N,2
32.99842,-2.3569,335.81,0.47,0.48,2017-01-08,0227,N,VIIRS,n,2,273.24,3.77,N,0
30.06587,-9.43876,333.54,0.39,0.36,2017-01-08,1345,N,VIIRS,n,2,295.71,1.96,D,0
34.71595,-4.6312,327.44,0.43,0.46,2017-01-08,1346,N,VIIRS,n,2,282.66,2.45,D,0
34.59428,-2.34515,299.38,0.41,0.37,2017-01-09,0207,N,VIIRS,n,2,274.59,0.75,N,2
34.93497,-5.06823,317.1,0.39,0.36,2017-01-09,0207,N,VIIRS,n,2,277.03,1.08,N,0
34.93168,-5.06899,306.62,0.39,0.36,2017-01-09,0207,N,VIIRS,n,2,277.58,1.08,N,0
32.98741,-7.14858,298.3,0.41,0.37,2017-01-09,0208,N,VIIRS,n,2,277.45,0.94,N,2
32.99755,-2.3576,328.82,0.43,0.38,2017-01-09,0208,N,VIIRS,n,2,271.94,4.63,N,0
29.20115,-9.49643,341.63,0.45,0.39,2017-01-09,0209,N,VIIRS,n,2,279.6,9.13,N,0
30.54785,-8.56607,330.2,0.44,0.38,2017-01-09,1326,N,VIIRS,n,2,297.69,3.13,D,0
32.45901,-7.37818,329.12,0.39,0.37,2017-01-09,1326,N,VIIRS,n,2,295.43,1.26,D,0
