latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
33.90694,-6.04065,324.63,0.38,0.36,2018-01-01,0214,N,VIIRS,n,2,267.13,1.94,N,0
33.36615,-7.74846,306.07,0.39,0.36,2018-01-01,0214,N,VIIRS,n,2,285.7,0.79,N,0
33.36676,-7.75265,296.92,0.39,0.36,2018-01-01,0214,N,VIIRS,n,2,285.12,0.83,N,0
30.69658,-8.38941,332.44,0.39,0.36,2018-01-01,1332,N,VIIRS,n,2,301.55,2.56,D,0
33.4148,-7.81215,315.23,0.39,0.44,2018-01-02,0155,N,VIIRS,n,2,280.49,1.55,N,0
32.76352,-5.46516,335.32,0.42,0.38,2018-01-02,1314,N,VIIRS,n,2,303.96,5.08,D,0
35.06676,-3.8144,331.5,0.38,0.36,2018-01-02,1314,N,VIIRS,n,2,298.06,4.09,D,0
33.90874,-5.49439,295.19,0.54,0.51,2018-01-03,0136,N,VIIRS,n,2,279.32,0.8,N,2
32.99008,-7.14843,303.13,0.33,0.55,2018-01-03,0136,N,VIIRS,n,2,281.19,0.85,N,2
33.3662,-7.74775,295.78,0.58,0.69,2018-01-03,0316,N,VIIRS,n,2,281.49,0.62,N,0
34.59715,-2.34703,302.81,0.34,0.56,2018-01-04,0117,N,VIIRS,n,2,279.29,0.83,N,0
35.0431,-2.97313,342.66,0.54,0.51,2018-01-04,1237,N,VIIRS,n,2,296.7,7.16,D,0
34.5969,-2.34548,305.22,0.32,0.55,2018-01-05,0238,N,VIIRS,n,2,277.66,0.63,N,2
33.36649,-7.75191,302.55,0.53,0.42,2018-01-05,0239,N,VIIRS,n,2,282,1.6,N,0
35.112,-5.74294,340.15,0.68,0.74,2018-01-05,1218,N,VIIRS,n,2,285.69,5.82,D,0
30.18898,-9.61703,345.75,0.46,0.39,2018-01-05,1357,N,VIIRS,n,2,296.69,11.28,D,0
35.53831,-5.50147,326.66,0.58,0.52,2018-01-05,1358,N,VIIRS,n,2,288.48,6.32,D,0
31.90111,-4.53787,335.36,0.5,0.41,2018-01-06,1338,N,VIIRS,n,2,291.54,2.55,D,0
34.59554,-2.34694,301.92,0.39,0.36,2018-01-07,0201,N,VIIRS,n,2,272.71,0.97,N,2
34.596,-2.34834,296.53,0.47,0.4,2018-01-08,0142,N,VIIRS,n,2,268.33,0.67,N,2
33.90946,-5.49623,297.3,0.41,0.61,2018-01-09,0123,N,VIIRS,n,2,277.63,0.62,N,2
30.22004,-9.15211,297.21,0.41,0.45,2018-01-10,0246,N,VIIRS,n,2,282.33,0.61,N,2
33.4814,-7.54743,300.78,0.41,0.37,2018-01-11,0226,N,VIIRS,n,2,283.24,0.64,N,0
32.98766,-7.14712,297.68,0.42,0.38,2018-01-11,0227,N,VIIRS,n,2,279.8,0.7,N,2
31.47061,-4.19106,341.64,0.41,0.45,2018-01-11,1345,N,VIIRS,n,2,298.47,9,D,0
35.60336,-5.30863,298.32,0.39,0.36,2018-01-12,0207,N,VIIRS,n,2,280.59,0.51,N,0
34.59612,-2.34666,309.92,0.41,0.37,2018-01-12,0207,N,VIIRS,n,2,277.31,1.55,N,2
33.05372,-7.53251,295.98,0.42,0.37,2018-01-12,0208,N,VIIRS,n,2,280.61,0.38,N,2
32.45634,-8.44394,304.14,0.44,0.38,2018-01-12,0208,N,VIIRS,n,2,281.68,0.67,N,0
31.54858,-8.09158,334.23,0.42,0.37,2018-01-12,1326,N,VIIRS,n,2,294.27,4.29,D,0
34.59621,-2.34601,300,0.42,0.37,2018-01-13,0148,N,VIIRS,n,2,271.61,1.11,N,2
33.54851,-7.52386,300.07,0.46,0.39,2018-01-16,0233,N,VIIRS,n,2,278.63,0.67,N,0
33.5518,-7.52474,297.75,0.46,0.39,2018-01-16,0233,N,VIIRS,n,2,278.16,0.54,N,0
33.36692,-7.74765,295.58,0.45,0.39,2018-01-16,0233,N,VIIRS,n,2,279.88,0.57,N,2
30.21892,-9.15135,296.87,0.44,0.38,2018-01-16,0234,N,VIIRS,n,2,280.76,0.67,N,2
34.81903,-3.39945,342.3,0.63,0.72,2018-01-16,1211,N,VIIRS,n,2,288.09,9.23,D,0
32.98835,-7.14692,299.16,0.39,0.36,2018-01-17,0214,N,VIIRS,n,2,278.35,0.62,N,2
33.05378,-7.53259,298.11,0.39,0.36,2018-01-17,0214,N,VIIRS,n,2,279.21,0.33,N,2
33.36671,-7.75017,298.72,0.39,0.36,2018-01-17,0214,N,VIIRS,n,2,282.66,0.85,N,0
33.89008,-6.9504,295.09,0.39,0.36,2018-01-17,0214,N,VIIRS,n,2,281.08,0.57,N,0
30.42871,-9.63369,302.33,0.41,0.37,2018-01-17,0215,N,VIIRS,n,2,282.49,0.83,N,0
30.4062,-9.52374,298.66,0.41,0.37,2018-01-17,0215,N,VIIRS,n,2,285.51,0.3,N,0
27.16041,-13.17083,340.95,0.47,0.48,2018-01-17,1331,N,VIIRS,n,2,291.38,6.8,D,0
33.16096,-6.79396,335.53,0.39,0.36,2018-01-17,1332,N,VIIRS,n,2,291.76,4.48,D,0
35.74502,-5.75498,298.88,0.5,0.41,2018-01-18,0154,N,VIIRS,n,2,282.06,0.65,N,0
35.74487,-5.75622,299.08,0.5,0.41,2018-01-18,0154,N,VIIRS,n,2,282.12,0.71,N,0
34.59644,-2.34611,319.98,0.39,0.36,2018-01-18,0154,N,VIIRS,n,2,280.63,2.36,N,2
30.36595,-9.47002,298.31,0.55,0.68,2018-01-19,0317,N,VIIRS,n,2,280.38,0.51,N,0
30.36887,-9.15939,297.21,0.78,0.78,2018-01-20,0118,N,VIIRS,n,2,279.89,1,N,0
30.36155,-9.15975,303.43,0.78,0.78,2018-01-20,0118,N,VIIRS,n,2,279.48,1.73,N,0
31.74677,-8.08794,317.91,0.33,0.55,2018-01-20,0258,N,VIIRS,n,2,280.03,0.8,N,0
24.31736,-15.0845,336.53,0.4,0.37,2018-01-20,1414,N,VIIRS,n,2,301.42,3.01,D,0
34.59462,-2.34892,295.54,0.63,0.72,2018-01-21,0058,N,VIIRS,n,2,277.23,0.99,N,2
34.59755,-2.34479,306.84,0.32,0.55,2018-01-21,0238,N,VIIRS,n,2,278.75,1.29,N,2
30.22131,-9.1525,296.12,0.51,0.41,2018-01-21,0240,N,VIIRS,n,2,284.11,0.79,N,2
34.59636,-2.34511,304.26,0.54,0.42,2018-01-22,0219,N,VIIRS,n,2,278.03,1.38,N,2
32.98644,-7.14717,299.01,0.39,0.36,2018-01-22,0220,N,VIIRS,n,2,277.92,0.91,N,2
30.2192,-9.15081,304.4,0.38,0.36,2018-01-22,0221,N,VIIRS,n,2,284.1,1.02,N,2
34.59663,-2.34863,315.07,0.39,0.36,2018-01-23,0201,N,VIIRS,n,2,280.66,1.74,N,2
34.59595,-2.34445,296.93,0.39,0.36,2018-01-23,0201,N,VIIRS,n,2,277.69,0.93,N,2
32.98902,-7.14616,300.9,0.46,0.39,2018-01-23,0201,N,VIIRS,n,2,280.29,1,N,2
32.566,-6.13633,295.47,0.42,0.38,2018-01-23,0201,N,VIIRS,n,2,279.04,0.74,N,2
35.69351,-5.37462,301.68,0.46,0.47,2018-01-24,0142,N,VIIRS,n,2,280.65,0.99,N,0
34.86164,-4.56433,301.17,0.41,0.45,2018-01-24,0142,N,VIIRS,n,2,273.91,0.56,N,0
34.59671,-2.34704,314.84,0.47,0.4,2018-01-24,0142,N,VIIRS,n,2,282.18,2.32,N,2
34.59769,-2.34855,311.12,0.47,0.4,2018-01-24,0142,N,VIIRS,n,2,280.83,1.52,N,0
35.11158,-5.73695,335.79,0.54,0.42,2018-01-24,1301,N,VIIRS,n,2,287.91,5.94,D,0
35.49759,-5.38064,328.35,0.51,0.41,2018-01-24,1302,N,VIIRS,n,2,290.74,2.81,D,0
34.59734,-2.34898,297.02,0.55,0.51,2018-01-25,0123,N,VIIRS,n,2,280.05,1.39,N,0
32.9883,-7.14766,296,0.51,0.66,2018-01-25,0123,N,VIIRS,n,2,274.33,0.84,N,2
33.09467,-8.62563,295.86,0.39,0.36,2018-01-27,0226,N,VIIRS,n,2,279.21,0.4,N,0
31.58455,-8.50307,295.81,0.4,0.37,2018-01-27,0227,N,VIIRS,n,2,277.24,0.8,N,0
32.06639,-9.13173,299.44,0.39,0.36,2018-01-27,0227,N,VIIRS,n,2,278.28,0.55,N,0
30.66504,-8.41539,331.96,0.44,0.38,2018-01-28,1325,N,VIIRS,n,2,297.31,3.07,D,0
33.22256,-6.0768,337.79,0.51,0.41,2018-01-29,1307,N,VIIRS,n,2,284.93,36.96,D,0
35.65011,-5.9521,295.43,0.57,0.52,2018-01-31,0251,N,VIIRS,n,2,281.64,0.73,N,0
34.59439,-2.34485,304.23,0.52,0.5,2018-02-01,0232,N,VIIRS,n,2,277.77,1.89,N,0
30.2203,-9.1519,295.73,0.44,0.38,2018-02-01,0233,N,VIIRS,n,2,276.09,0.61,N,2
30.21825,-9.15115,295.63,0.4,0.37,2018-02-02,0215,N,VIIRS,n,2,280.87,0.66,N,2
35.11187,-5.74044,330.07,0.42,0.38,2018-02-02,1333,N,VIIRS,n,2,287.52,2.51,D,0
34.9348,-6.04231,313.59,0.5,0.41,2018-02-03,0154,N,VIIRS,n,2,276.14,1.11,N,0
35.11359,-5.74234,335.06,0.41,0.37,2018-02-03,1314,N,VIIRS,n,2,292.46,6.99,D,0
34.59818,-2.34931,298.58,0.56,0.43,2018-02-04,0135,N,VIIRS,n,2,274.02,2.28,N,0
35.5494,-5.41369,296.18,0.56,0.52,2018-02-04,0135,N,VIIRS,n,2,277.43,0.61,N,0
34.59555,-2.34495,309.92,0.56,0.43,2018-02-04,0135,N,VIIRS,n,2,274.78,1.5,N,0
