latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
31.63544,-8.31272,329.31,0.42,0.38,2014-01-01,1328,N,VIIRS,n,2,295.04,2.03,D,0
32.10744,-6.78552,344.42,0.57,0.43,2014-01-02,1310,N,VIIRS,n,2,295.53,10.89,D,0
32.43392,-8.45924,295.97,0.48,0.65,2014-01-03,0132,N,VIIRS,n,2,277.88,0.7,N,0
34.91282,-4.41297,296.15,0.36,0.58,2014-01-04,0253,N,VIIRS,n,2,275.42,0.97,N,0
32.56619,-6.13575,295.96,0.33,0.55,2014-01-04,0254,N,VIIRS,n,2,278.35,0.31,N,2
34.74907,-3.71857,325.57,0.37,0.58,2014-01-04,1233,N,VIIRS,n,2,291.7,2.71,D,0
33.92408,-4.29682,341.88,0.5,0.66,2014-01-04,1413,N,VIIRS,n,2,284.06,6.99,D,0
33.36734,-7.75081,298.61,0.45,0.39,2014-01-05,0235,N,VIIRS,n,2,278.31,0.77,N,2
31.92072,-4.40136,331.95,0.5,0.49,2014-01-05,1353,N,VIIRS,n,2,290.65,3.08,D,0
31.92137,-4.39915,332.07,0.5,0.49,2014-01-05,1353,N,VIIRS,n,2,289.56,2.88,D,0
32.56814,-6.13496,295.04,0.39,0.36,2014-01-06,0216,N,VIIRS,n,2,279.96,0.8,N,2
34.69874,-4.58748,308.56,0.4,0.37,2014-01-06,0216,N,VIIRS,n,2,277.31,0.99,N,0
33.91077,-5.49548,299.19,0.39,0.36,2014-01-06,0216,N,VIIRS,n,2,280.92,0.76,N,2
33.68594,-7.42834,295.33,0.39,0.36,2014-01-06,0216,N,VIIRS,n,2,285.13,0.76,N,0
33.43993,-7.8427,299.73,0.39,0.36,2014-01-06,0216,N,VIIRS,n,2,282.55,0.64,N,0
33.36776,-7.7494,307.01,0.39,0.36,2014-01-06,0216,N,VIIRS,n,2,284.19,1.32,N,2
32.98929,-7.14634,299.06,0.39,0.36,2014-01-06,0216,N,VIIRS,n,2,279.84,0.48,N,2
31.5853,-8.50381,296.61,0.4,0.37,2014-01-06,0217,N,VIIRS,n,2,281.24,0.61,N,0
33.68276,-5.56863,330.72,0.41,0.37,2014-01-06,1335,N,VIIRS,n,2,296.68,1.85,D,0
34.05833,-4.24858,330.1,0.46,0.39,2014-01-06,1335,N,VIIRS,n,2,290.49,2.92,D,0
34.59525,-2.3464,296.93,0.39,0.36,2014-01-07,0157,N,VIIRS,n,2,278.35,0.96,N,0
34.69115,-4.58432,311.54,0.44,0.38,2014-01-07,0157,N,VIIRS,n,2,275.77,1.36,N,0
34.73657,-4.11068,325.76,0.39,0.36,2014-01-07,1316,N,VIIRS,n,2,293.12,1.8,D,0
33.83407,-6.88722,336.23,0.46,0.39,2014-01-07,1316,N,VIIRS,n,2,296.3,6.05,D,0
33.83053,-6.88627,328.63,0.46,0.39,2014-01-07,1316,N,VIIRS,n,2,297.51,6.05,D,0
32.53739,-5.58154,333.6,0.43,0.38,2014-01-07,1316,N,VIIRS,n,2,300.5,2.36,D,0
35.73299,-5.35934,326.26,0.4,0.37,2014-01-07,1317,N,VIIRS,n,2,290.81,1.58,D,0
34.59665,-2.34699,299.05,0.56,0.43,2014-01-08,0138,N,VIIRS,n,2,277.29,1.26,N,0
33.88362,-6.99701,297.37,0.33,0.55,2014-01-08,0138,N,VIIRS,n,2,281.92,0.29,N,0
32.98772,-7.14917,297.82,0.33,0.55,2014-01-08,0139,N,VIIRS,n,2,280.79,0.81,N,2
33.3673,-7.74749,296.37,0.57,0.69,2014-01-08,0319,N,VIIRS,n,2,282.4,0.78,N,2
30.11385,-9.47774,331.17,0.44,0.62,2014-01-08,1257,N,VIIRS,n,2,302.69,2.27,D,0
33.63303,-7.43596,305.69,0.32,0.55,2014-01-09,0300,N,VIIRS,n,2,279.87,0.78,N,0
33.05551,-7.53289,300.05,0.33,0.55,2014-01-09,0300,N,VIIRS,n,2,282.51,0.56,N,2
30.07603,-9.15945,296.39,0.62,0.54,2014-01-09,0301,N,VIIRS,n,2,284.26,0.9,N,0
31.60945,-9.58335,307.4,0.55,0.51,2014-01-09,0301,N,VIIRS,n,2,280.5,1.52,N,0
33.36839,-7.74889,295.58,0.53,0.42,2014-01-10,0242,N,VIIRS,n,2,283.41,1.48,N,2
34.69082,-4.58777,298.92,0.44,0.38,2014-01-11,0222,N,VIIRS,n,2,275.8,0.72,N,0
34.74682,-4.41675,337.86,0.44,0.39,2014-01-11,0222,N,VIIRS,n,2,275.95,5.05,N,0
34.75024,-4.41546,330.15,0.44,0.39,2014-01-11,0222,N,VIIRS,n,2,279.09,5.05,N,0
34.59518,-2.34701,302.06,0.54,0.42,2014-01-11,0222,N,VIIRS,n,2,282.51,1.32,N,0
34.77293,-6.25489,337.92,0.45,0.39,2014-01-11,1342,N,VIIRS,n,2,290.23,6.55,D,0
34.71096,-4.62222,311.29,0.4,0.37,2014-01-12,0203,N,VIIRS,n,2,277.97,1.32,N,0
34.59678,-2.34644,309.98,0.39,0.36,2014-01-12,0203,N,VIIRS,n,2,281.72,1.18,N,0
34.9734,-4.74631,334.94,0.4,0.37,2014-01-12,0203,N,VIIRS,n,2,275.08,3.55,N,0
35.59741,-5.43534,295.47,0.42,0.38,2014-01-12,0203,N,VIIRS,n,2,280.48,0.35,N,0
34.95154,-5.90772,298.02,0.43,0.38,2014-01-12,0203,N,VIIRS,n,2,280.89,0.42,N,0
32.98871,-7.14898,297.54,0.46,0.39,2014-01-12,0204,N,VIIRS,n,2,280.8,0.76,N,2
33.91053,-5.4936,299.61,0.41,0.37,2014-01-12,0204,N,VIIRS,n,2,280.9,0.85,N,2
33.13605,-8.60446,306.08,0.53,0.42,2014-01-12,0204,N,VIIRS,n,2,284.54,0.91,N,2
33.89128,-6.95029,298.32,0.46,0.39,2014-01-12,0204,N,VIIRS,n,2,284.17,0.72,N,0
33.05448,-7.53466,297.04,0.44,0.46,2014-01-15,0248,N,VIIRS,n,2,279.63,0.7,N,2
33.36489,-7.7485,295.68,0.42,0.45,2014-01-15,0248,N,VIIRS,n,2,279.79,0.82,N,2
33.91344,-5.47039,336.94,0.35,0.56,2014-01-15,1407,N,VIIRS,n,2,291.41,2.25,D,0
34.59626,-2.34701,295.17,0.43,0.46,2014-01-16,0228,N,VIIRS,n,2,276.22,0.86,N,0
34.5954,-2.34539,295.2,0.43,0.46,2014-01-16,0228,N,VIIRS,n,2,275.85,0.87,N,0
32.78397,-8.4094,298.1,0.4,0.37,2014-01-16,0229,N,VIIRS,n,2,280.26,0.67,N,0
34.59738,-2.34663,297.29,0.42,0.38,2014-01-18,0151,N,VIIRS,n,2,278.18,0.8,N,0
33.36699,-7.75045,305.02,0.45,0.39,2014-01-21,0235,N,VIIRS,n,2,281.38,1.25,N,2
31.58534,-8.50342,295.2,0.45,0.39,2014-01-21,0236,N,VIIRS,n,2,279.88,0.52,N,0
34.59678,-2.34804,307.4,0.39,0.36,2014-01-23,0157,N,VIIRS,n,2,278.62,1.39,N,0
33.78511,-6.77547,302.91,0.32,0.55,2014-01-24,0139,N,VIIRS,n,2,278.25,0.48,N,0
33.69138,-7.43114,299.11,0.35,0.57,2014-01-24,0139,N,VIIRS,n,2,283.64,1.35,N,0
33.58651,-7.5091,309.72,0.35,0.57,2014-01-24,0139,N,VIIRS,n,2,279.43,0.79,N,2
33.36678,-7.74856,295.24,0.57,0.69,2014-01-24,0319,N,VIIRS,n,2,279.69,0.79,N,2
33.96236,-3.65771,331.36,0.53,0.42,2014-01-24,1258,N,VIIRS,n,2,288.33,5.87,D,0
34.59486,-2.34701,309.75,0.34,0.56,2014-01-25,0120,N,VIIRS,n,2,277,0.9,N,0
34.59603,-2.34457,296.73,0.57,0.69,2014-01-25,0300,N,VIIRS,n,2,275.38,0.81,N,2
33.36595,-7.74693,296.59,0.63,0.54,2014-01-25,0301,N,VIIRS,n,2,279.32,1.78,N,0
33.05623,-7.53201,298.52,0.33,0.55,2014-01-25,0301,N,VIIRS,n,2,279.01,0.69,N,2
35.09855,-3.97841,340.27,0.61,0.54,2014-01-25,1239,N,VIIRS,n,2,290.6,5.99,D,0
34.5967,-2.34845,295.48,0.64,0.72,2014-01-26,0101,N,VIIRS,n,2,277.74,1.27,N,0
34.59742,-2.34521,313.99,0.32,0.55,2014-01-26,0241,N,VIIRS,n,2,279,1.46,N,0
33.0547,-7.53534,295.32,0.55,0.43,2014-01-26,0242,N,VIIRS,n,2,279,0.65,N,2
33.89132,-6.94815,295.87,0.57,0.43,2014-01-26,0242,N,VIIRS,n,2,282.66,0.88,N,0
34.59665,-2.34808,310.19,0.54,0.42,2014-01-27,0222,N,VIIRS,n,2,280.75,2.3,N,0
33.88546,-6.99594,306.27,0.39,0.36,2014-01-27,0223,N,VIIRS,n,2,282.41,0.8,N,0
33.89174,-6.95109,298.59,0.39,0.36,2014-01-27,0223,N,VIIRS,n,2,283.09,0.67,N,0
32.56668,-6.13707,295.59,0.41,0.37,2014-01-27,0223,N,VIIRS,n,2,280.83,0.57,N,2
32.98926,-7.14815,297.16,0.39,0.36,2014-01-27,0223,N,VIIRS,n,2,279.73,0.75,N,2
32.98814,-7.14915,297.66,0.46,0.39,2014-01-28,0204,N,VIIRS,n,2,280.84,0.67,N,2
33.13489,-8.60414,298.99,0.35,0.57,2014-01-30,0307,N,VIIRS,n,2,281.03,0.64,N,0
33.0554,-7.53312,297.75,0.41,0.37,2014-02-01,0229,N,VIIRS,n,2,280.86,0.62,N,2
30.22067,-9.15299,307.03,0.4,0.37,2014-02-01,0230,N,VIIRS,n,2,283.04,1.09,N,2
34.59572,-2.34779,314.13,0.42,0.38,2014-02-03,0151,N,VIIRS,n,2,279.16,1.88,N,0
35.49075,-5.28103,328.8,0.44,0.38,2014-02-03,1311,N,VIIRS,n,2,290.09,2.71,D,0
35.49425,-5.28182,330.16,0.44,0.38,2014-02-03,1311,N,VIIRS,n,2,287.58,2.71,D,0
35.74221,-5.75775,299.61,0.36,0.57,2014-02-04,0132,N,VIIRS,n,2,278.18,0.8,N,2
31.43179,-6.19734,299.26,0.66,0.73,2014-02-05,0114,N,VIIRS,n,2,271.58,1.34,N,0
33.36607,-7.74747,295.58,0.51,0.5,2014-02-05,0254,N,VIIRS,n,2,280.48,1.26,N,0
33.36646,-7.74823,299.33,0.51,0.5,2014-02-05,0255,N,VIIRS,n,2,280.93,0.69,N,2
35.08709,-3.82347,325.98,0.37,0.58,2014-02-05,1233,N,VIIRS,n,2,290.01,1.06,D,0
31.90544,-4.37753,333.06,0.47,0.64,2014-02-05,1233,N,VIIRS,n,2,285.56,2.55,D,0
31.90208,-4.38021,328.98,0.47,0.64,2014-02-05,1233,N,VIIRS,n,2,287.45,2.37,D,0
34.59573,-2.34837,299.78,0.52,0.5,2014-02-06,0235,N,VIIRS,n,2,275.32,1.77,N,0
31.58524,-8.50067,295.89,0.45,0.39,2014-02-06,0236,N,VIIRS,n,2,281.71,0.45,N,0
33.8919,-6.95123,295.21,0.48,0.4,2014-02-06,0236,N,VIIRS,n,2,283.14,0.58,N,0
33.36676,-7.74832,305.12,0.45,0.39,2014-02-06,0236,N,VIIRS,n,2,283.55,0.93,N,2
33.05519,-7.53457,295.29,0.47,0.39,2014-02-06,0236,N,VIIRS,n,2,280.84,0.6,N,2
31.88906,-4.41037,342.52,0.5,0.49,2014-02-06,1354,N,VIIRS,n,2,301.61,3.57,D,0
34.59781,-2.34789,310.46,0.46,0.39,2014-02-07,0216,N,VIIRS,n,2,281.32,1.2,N,0
33.89243,-6.95004,296.15,0.39,0.36,2014-02-07,0217,N,VIIRS,n,2,283.64,0.4,N,0
33.36607,-7.75147,302.31,0.39,0.36,2014-02-07,0217,N,VIIRS,n,2,282.94,0.58,N,2
33.05629,-7.53247,296.1,0.39,0.36,2014-02-07,0217,N,VIIRS,n,2,282.54,0.6,N,2
30.54795,-6.11089,336.16,0.39,0.36,2014-02-07,1335,N,VIIRS,l,2,308.81,9.13,D,0
34.59559,-2.34763,321.17,0.39,0.36,2014-02-08,0158,N,VIIRS,n,2,280.23,2.49,N,0
33.90976,-5.4947,299.31,0.47,0.39,2014-02-08,0158,N,VIIRS,n,2,281.12,0.97,N,0
34.59763,-2.34683,298.22,0.56,0.43,2014-02-09,0139,N,VIIRS,n,2,277.73,1.31,N,0
34.89783,-3.03066,339.55,0.55,0.51,2014-02-10,1240,N,VIIRS,n,2,282.83,5.37,D,0
34.59654,-2.34654,307.71,0.32,0.55,2014-02-11,0241,N,VIIRS,n,2,276.56,1.12,N,0
34.59579,-2.34763,301.25,0.32,0.55,2014-02-11,0241,N,VIIRS,n,2,275.81,1.14,N,0
30.14029,-9.59449,345.25,0.46,0.39,2014-02-11,1400,N,VIIRS,n,2,296.39,4.38,D,0
31.58547,-8.5024,297.12,0.38,0.36,2014-02-12,0224,N,VIIRS,n,2,280.24,0.73,N,0
30.21972,-9.15268,302.62,0.38,0.36,2014-02-12,0224,N,VIIRS,n,2,283.61,0.92,N,2
34.59585,-2.34771,324.02,0.39,0.36,2014-02-13,0204,N,VIIRS,n,2,283.25,2.44,N,0
34.94387,-3.53602,295.68,0.39,0.36,2014-02-13,0204,N,VIIRS,n,2,281.85,0.43,N,0
32.43658,-8.45911,298.09,0.52,0.41,2014-02-13,0205,N,VIIRS,n,2,283.04,0.67,N,0
34.59432,-2.34614,313.58,0.47,0.4,2014-02-14,0145,N,VIIRS,n,2,282.11,2.45,N,0
33.9086,-5.49499,301.96,0.44,0.46,2014-02-14,0145,N,VIIRS,n,2,283.85,0.93,N,0
31.70388,-8.0645,310.28,0.59,0.53,2014-02-14,0146,N,VIIRS,n,2,283.35,1.89,N,0
31.70138,-8.0651,305.52,0.59,0.53,2014-02-14,0146,N,VIIRS,n,2,282.25,1.9,N,0
34.59741,-2.34594,305.61,0.56,0.51,2014-02-15,0126,N,VIIRS,n,2,280.86,2.44,N,0
35.18729,-2.95397,310.06,0.61,0.53,2014-02-15,0126,N,VIIRS,n,2,282.19,2.4,N,0
35.18712,-2.95301,301.43,0.61,0.53,2014-02-15,0126,N,VIIRS,n,2,281.98,0.7,N,0
34.83044,-4.31138,297.28,0.36,0.58,2014-02-15,0126,N,VIIRS,n,2,277.79,0.57,N,0
34.59721,-2.34644,307.05,0.56,0.51,2014-02-15,0126,N,VIIRS,n,2,281.67,1.52,N,0
33.5475,-7.54472,299.64,0.54,0.68,2014-02-15,0127,N,VIIRS,n,2,281.7,0.8,N,0
33.55384,-7.5443,307.39,0.54,0.68,2014-02-15,0127,N,VIIRS,n,2,282.18,1.21,N,0
33.05378,-7.53451,296.54,0.4,0.6,2014-02-15,0307,N,VIIRS,n,2,281.24,0.43,N,2
28.52371,-10.99635,340.77,0.55,0.51,2014-02-15,1425,N,VIIRS,n,2,294.01,3.93,D,0
34.59762,-2.34992,297.7,0.52,0.67,2014-02-16,0107,N,VIIRS,n,2,280.66,1.33,N,0
34.59857,-2.34555,297.79,0.39,0.59,2014-02-16,0248,N,VIIRS,n,2,279.33,0.61,N,0
30.22094,-9.15339,295.64,0.41,0.45,2014-02-16,0249,N,VIIRS,n,2,283.16,0.79,N,2
32.94597,-3.79041,337.6,0.5,0.66,2014-02-16,1227,N,VIIRS,n,2,291.69,3.81,D,0
33.49895,-7.46767,300.97,0.41,0.37,2014-02-17,0230,N,VIIRS,n,2,277.96,0.79,N,0
34.59595,-2.34793,301.87,0.42,0.38,2014-02-19,0151,N,VIIRS,n,2,267.29,1.17,N,0
33.55033,-7.52276,298.33,0.46,0.47,2014-02-19,0152,N,VIIRS,n,2,280.21,1.3,N,0
33.54994,-7.52116,300.57,0.47,0.47,2014-02-19,0152,N,VIIRS,n,2,280.29,0.43,N,0
34.59697,-2.34908,307.7,0.45,0.47,2014-02-20,0133,N,VIIRS,n,2,277.72,1.45,N,0
